SALE DATE,SALE PRICE,Date
2005-01-31,579728.8850710901,2005-01-31
2005-02-28,605813.7595281306,2005-02-28
2005-03-31,679439.3870120121,2005-03-31
2005-04-30,586441.5612664474,2005-04-30
2005-05-31,608951.9538461538,2005-05-31
2005-06-30,641738.2122103715,2005-06-30
2005-07-31,637844.4233201582,2005-07-31
2005-08-31,618996.717595945,2005-08-31
2005-09-30,590548.6688453159,2005-09-30
2005-10-31,747609.417395306,2005-10-31
2005-11-30,602703.6835334477,2005-11-30
2005-12-31,771424.2846358792,2005-12-31
2006-01-31,873037.1326905418,2006-01-31
2006-02-28,636326.4960505529,2006-02-28
2006-03-31,649498.357114857,2006-03-31
2006-04-30,751911.6532791052,2006-04-30
2006-05-31,708797.3219178083,2006-05-31
2006-06-30,825959.5270607827,2006-06-30
2006-07-31,636062.0051984877,2006-07-31
2006-08-31,707204.1119315973,2006-08-31
2006-09-30,734003.1072921505,2006-09-30
2006-10-31,664296.6442173711,2006-10-31
2006-11-30,883768.3428571429,2006-11-30
2006-12-31,764528.633552965,2006-12-31
2007-01-31,709015.2873915263,2007-01-31
2007-02-28,619647.3210496929,2007-02-28
2007-03-31,791262.2989528796,2007-03-31
2007-04-30,796814.8524781341,2007-04-30
2007-05-31,712800.3791417708,2007-05-31
2007-06-30,825131.9364303178,2007-06-30
2007-07-31,773638.3473797947,2007-07-31
2007-08-31,867117.9044890163,2007-08-31
2007-09-30,780831.6405498282,2007-09-30
2007-10-31,751933.9077757685,2007-10-31
2007-11-30,809112.992684711,2007-11-30
2007-12-31,730944.6366666667,2007-12-31
2008-01-31,779764.7860696517,2008-01-31
2008-02-29,725565.5992277992,2008-02-29
2008-03-31,796142.0494505494,2008-03-31
2008-04-30,650084.6349442379,2008-04-30
2008-05-31,793198.2853146853,2008-05-31
2008-06-30,932578.8736631016,2008-06-30
2008-07-31,767477.1825449701,2008-07-31
2008-08-31,640804.1100628931,2008-08-31
2008-09-30,629344.6815809098,2008-09-30
2008-10-31,591461.3778597786,2008-10-31
2008-11-30,664062.9495967742,2008-11-30
2008-12-31,900900.6087344028,2008-12-31
2009-01-31,735067.8140350877,2009-01-31
2009-02-28,628312.556978233,2009-02-28
2009-03-31,601274.591954023,2009-03-31
2009-04-30,551657.9657360406,2009-04-30
2009-05-31,556014.3481927711,2009-05-31
2009-06-30,563340.5746402878,2009-06-30
2009-07-31,538820.4010507881,2009-07-31
2009-08-31,610195.4319578578,2009-08-31
2009-09-30,695004.6378676471,2009-09-30
2009-10-31,540532.4221238939,2009-10-31
2009-11-30,584118.7970383276,2009-11-30
2009-12-31,729753.8210765731,2009-12-31
2010-01-31,592289.9318403116,2010-01-31
2010-02-28,628821.4615384615,2010-02-28
2010-03-31,635589.3742110009,2010-03-31
2010-04-30,694696.3539276258,2010-04-30
2010-05-31,653247.8533604888,2010-05-31
2010-06-30,775720.1937777777,2010-06-30
2010-07-31,819021.5450236967,2010-07-31
2010-08-31,639685.7600459242,2010-08-31
2010-09-30,719389.5405092592,2010-09-30
2010-10-31,789031.8007117438,2010-10-31
2010-11-30,752411.0930506479,2010-11-30
2010-12-31,909555.0949432404,2010-12-31
2011-01-31,656142.7358299595,2011-01-31
2011-02-28,672570.5742771685,2011-02-28
2011-03-31,641007.8325082508,2011-03-31
2011-04-30,656714.400390625,2011-04-30
2011-05-31,1056946.7664835164,2011-05-31
2011-06-30,670739.4837490552,2011-06-30
2011-07-31,749481.9795191451,2011-07-31
2011-08-31,682521.1496763754,2011-08-31
2011-09-30,646477.1936,2011-09-30
2011-10-31,619831.9868554095,2011-10-31
2011-11-30,865769.5308529945,2011-11-30
2011-12-31,1061860.3734230446,2011-12-31
2012-01-31,654512.7174721189,2012-01-31
2012-02-29,653698.8329135181,2012-02-29
2012-03-31,754950.40234375,2012-03-31
2012-04-30,768347.7053872054,2012-04-30
2012-05-31,885461.0233962265,2012-05-31
2012-06-30,826576.9445571332,2012-06-30
2012-07-31,706645.8286713287,2012-07-31
2012-08-31,812832.3588354773,2012-08-31
2012-09-30,807893.0315876974,2012-09-30
2012-10-31,1202841.3599648816,2012-10-31
2012-11-30,1310955.620472441,2012-11-30
2012-12-31,1237108.0972297664,2012-12-31
2013-01-31,654957.8646788991,2013-01-31
2013-02-28,825861.3619834711,2013-02-28
2013-03-31,753689.5658807212,2013-03-31
2013-04-30,866380.9900213828,2013-04-30
2013-05-31,870524.006993007,2013-05-31
2013-06-30,858092.865276212,2013-06-30
2013-07-31,852506.1875364007,2013-07-31
2013-08-31,993537.724372385,2013-08-31
2013-09-30,820765.9444829979,2013-09-30
2013-10-31,1159455.9520833334,2013-10-31
2013-11-30,805776.9634574841,2013-11-30
2013-12-31,1210782.4741532977,2013-12-31
2014-01-31,1135989.3743781094,2014-01-31
2014-02-28,886533.3485560779,2014-02-28
2014-03-31,942436.783171521,2014-03-31
2014-04-30,1096682.8565710473,2014-04-30
2014-05-31,1156509.1849275362,2014-05-31
2014-06-30,1076544.3852507374,2014-06-30
2014-07-31,1127587.0708661417,2014-07-31
2014-08-31,1329665.9917355373,2014-08-31
2014-09-30,1215812.5711795469,2014-09-30
2014-10-31,1125225.678876679,2014-10-31
2014-11-30,1145548.6643550624,2014-11-30
2014-12-31,1555861.520958084,2014-12-31
2015-01-31,1467668.7394789578,2015-01-31
2015-02-28,1274975.3259883344,2015-02-28
2015-03-31,1886794.8661327232,2015-03-31
2015-04-30,1321462.28133515,2015-04-30
2015-05-31,1387663.3381962865,2015-05-31
2015-06-30,1383296.9788846779,2015-06-30
2015-07-31,1497426.5571997724,2015-07-31
2015-08-31,1249482.5453481567,2015-08-31
2015-09-30,1276363.1140235912,2015-09-30
2015-10-31,1431426.443452381,2015-10-31
2015-11-30,1139132.7160228898,2015-11-30
2015-12-31,1622078.917964072,2015-12-31
2016-01-31,1611348.1368348307,2016-01-31
2016-02-29,1030395.4876373627,2016-02-29
2016-03-31,1500701.189039409,2016-03-31
2016-04-30,1429099.2884615385,2016-04-30
2016-05-31,1269196.4391672087,2016-05-31
2016-06-30,1347030.642281106,2016-06-30
2016-07-31,1401906.8982479784,2016-07-31
2016-08-31,1830857.0856632956,2016-08-31
2016-09-30,1190705.2194357368,2016-09-30
2016-10-31,1336827.149797571,2016-10-31
2016-11-30,1225425.505601195,2016-11-30
2016-12-31,2333236.5931981686,2016-12-31
2017-01-31,1174958.0371408549,2017-01-31
2017-02-28,1400204.2528912877,2017-02-28
2017-03-31,2133984.711832061,2017-03-31
2017-04-30,1556919.91878589,2017-04-30
2017-05-31,1552419.1103938024,2017-05-31
2017-06-30,1390494.966212211,2017-06-30
2017-07-31,1395171.0211565585,2017-07-31
2017-08-31,1332110.4997070886,2017-08-31
2017-09-30,1244444.1954992968,2017-09-30
2017-10-31,1959855.9490579204,2017-10-31
2017-11-30,1282961.1235380117,2017-11-30
2017-12-31,1351814.6817528736,2017-12-31
2018-01-31,1238841.5102189782,2018-01-31
2018-02-28,1875392.2957074721,2018-02-28
2018-03-31,1502352.6578397213,2018-03-31
2018-04-30,1558426.9616270147,2018-04-30
2018-05-31,4102234.5064935065,2018-05-31
2018-06-30,1461338.934038581,2018-06-30
2018-07-31,1591291.3045547246,2018-07-31
2018-08-31,1603945.7322784811,2018-08-31
2018-09-30,1516667.9509966779,2018-09-30
2018-10-31,1309644.4608454609,2018-10-31
2018-11-30,1492504.0992676974,2018-11-30
2018-12-31,2615799.803966438,2018-12-31
2019-01-31,2203191.9603960398,2019-01-31
2019-02-28,1713733.23623011,2019-02-28
2019-03-31,1369587.0412371133,2019-03-31
2019-04-30,1396550.34229576,2019-04-30
2019-05-31,1402420.3976377952,2019-05-31
2019-06-30,2719257.5775261326,2019-06-30
2019-07-31,1510448.6261306533,2019-07-31
2019-08-31,2516074.1428571427,2019-08-31
2019-09-30,1797385.566183575,2019-09-30
2019-10-31,1626432.2454361054,2019-10-31
2019-11-30,2170994.2865497074,2019-11-30
2019-12-31,3241823.7668161434,2019-12-31
